Sample,PLASMA01,PLASMA02,PLASMA03,PLASMA05,PLASMA06,PLASMA07,QC1,QC2,QC3,QC4,QC5,QC6,SERUM01,SERUM02,SERUM03,SERUM04,SERUM05,SERUM06,WB01,WB02,WB03,WB04,WB05,WB06
Label,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,QC,QC,QC,QC,QC,QC,Serum,Serum,Serum,Serum,Serum,Serum,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood
247.1289__63.22,9982006.4484,5220733.35165,5220770.09942,5231117.5699,4267640.42665,5508009.94903,4326729.57834,4440937.60105,4385621.47286,4388788.88641,4460079.02849,4443733.23215,9514184.11439,5429280.44255,4539004.44864,5958721.45965,5465616.0944,5119284.34513,765189.34213,1673505.68537,721794.84147,446455.45006,463207.16838,642754.99501
247.2016__41.62,1281238.89177,2118375.05949,1205970.30923,78245.53464,NA,1824382.08412,10413760.81585,10996221.56257,12266374.97036,11389166.38774,12129847.89559,11197484.73552,1762280.31897,2500745.85345,2175415.34809,5480616.1761,223407.89216,24015.85567,18957935.27347,24883292.00388,16333938.08428,13593097.69601,3148330.69744,325174.10283
247.9432__25.49,916376.412,922069.51113,934668.14884,887518.56514,970204.40247,904545.19752,948581.3554,932833.20125,841334.73039,1579642.6342,1043089.57519,1392326.1467,74660.25857,745239.6603,1069739.40795,1697679.99379,1602476.33455,878889.12479,772035.68804,891805.69338,1640431.98674,1005193.36138,913327.54536,716966.32561
247.9464__44.21,NA,NA,NA,NA,NA,NA,364365.88814,174988.13349,317421.70643,266483.37819,432247.55994,437038.71528,NA,NA,NA,15656.89421,13801.57501,NA,977878.41092,352551.10082,666031.70416,726419.05206,1099791.25125,832862.00803
248.1493__43.03,879827.12049,1715848.18528,2658437.45016,2792862.02667,2101518.29853,2329013.7384,1204228.79591,2115896.8786,2516170.70149,2726193.92516,2228156.59404,1501879.41345,481659.91968,504322.30261,1347573.89504,615119.39408,1460850.59682,1059326.21882,2264258.68031,2943816.54041,6373751.24054,1579473.37422,4541951.32501,3902768.07328
249.0539__49.11,254856.01242,406448.29154,33222.53713,67584.69633,67538.95953,40496.98252,3117803.12576,2856615.74097,3388689.9741,3318049.95278,3215388.12057,3144921.33741,234430.8657,250625.31201,143772.74917,229772.54828,106886.18405,60861.01897,8221522.55902,4176756.4719,1535732.72739,2843326.3997,12245461.19887,4295520.01254
249.9703__25.12,532292.96905,414701.78935,613915.97253,933733.71356,1278947.4985,711335.11319,755890.00367,552472.18666,836264.80297,37235.02717,430120.47708,411851.23816,1008694.21557,741010.36846,960181.94298,33675.02352,412247.53365,1344547.9063,1347219.60451,495119.65663,807081.5186,716814.60795,858135.74364,39360.62992
250.0387__79.87,1250713.83199,888090.92954,985126.32808,1787121.38308,1272411.16449,1332520.87936,1131944.79405,1310487.07751,1342053.22112,1383341.97239,1333737.82338,1512576.4313,1553062.89329,1220767.61945,1403961.18851,1497857.72052,2042759.45933,1970080.87859,1135464.65672,819099.10083,945201.7115,385423.34657,1596284.85885,1274987.89106
250.0387__104.44,1177808.12026,996318.16301,1148520.75978,1651043.52517,1219688.67507,1471736.98006,1160302.71505,1763302.56392,2090472.73014,1687942.29374,1985609.92605,1887748.51683,1712521.84022,1402875.53721,1483704.25221,2226399.09994,3050899.89515,1698246.46235,957001.33074,768808.07686,935116.49064,1083430.87774,1922808.02305,1400050.13622
250.9388__38.79,3272820.27163,3437101.91412,3278223.76629,2904555.78857,2736991.00011,3341250.67172,3639515.06743,3603463.46482,3761509.61903,3876773.09537,3811449.48889,3944009.5983,620811.77255,1221023.10864,1367922.78087,797000.85374,883653.78099,577041.12312,4987502.07262,4315534.10802,4462959.22481,4179138.91977,4650475.46785,4193900.95898
251.1366__42.68,25429.85982,45447.56246,28433.28445,89818.33143,85907.51746,NA,38655.12514,37739.80192,NA,NA,NA,17836.39719,2933313.99478,2215614.62343,1158425.70771,1726677.80113,2099043.97628,2877217.48555,41382.98697,57620.34005,NA,24372.2803,36410.30451,30778.09694
253.1183__60.15,NA,NA,NA,NA,NA,NA,1135808.19463,1168960.77277,1219563.71608,1186913.73093,1152978.59145,1238150.48186,1036776.65979,2475550.76428,1644107.90564,2739826.97167,4257504.27328,3438931.36363,678100.06254,2742556.97728,1278145.91088,623661.48867,324532.42404,654284.07794
253.1183__89.72,NA,NA,NA,NA,NA,NA,1085653.27968,934694.21381,995310.51639,1049328.83394,865537.08057,1316291.97421,864716.38164,2024008.77526,1419866.73283,2562254.64666,3601339.03215,2908221.47636,550105.24679,2330635.52332,1074141.38027,413305.44948,227191.46798,477592.68656
253.1271__40.38,4225762.06684,2471868.28683,1801119.15916,4285825.74747,4221280.11109,3415958.67082,2560952.78052,2250635.39967,2422513.78955,2229955.76015,1899461.65354,2378882.51783,7238606.12773,3440243.04687,2370047.82566,4621833.21938,6457825.73111,6970323.76414,798916.88946,NA,310396.28208,508253.3363,119601.33819,449346.52934
254.0692__44.54,1767355.2455,2811879.83855,364993.01928,1507777.71179,5138951.73645,4142484.12213,1198626.05489,1273661.82575,1449466.15416,1361330.88462,1367029.27185,1342812.5095,988177.84182,881340.6155,1067977.25078,261897.28179,850253.9525,1819119.77567,595141.46968,NA,NA,NA,NA,NA
254.9492__26.79,420567.35944,1217946.89337,818049.30199,325466.55024,425684.72607,516915.85212,455552.64809,381850.20932,414879.08782,838915.89028,440635.82203,401504.27472,1358533.76176,460882.80429,863271.48727,500972.51248,486718.77964,1173753.83208,391009.01812,397933.17715,358910.03596,329954.6036,698526.25241,412674.72634
254.9702__43.44,297577.82653,410359.45859,168881.51797,670604.30091,340259.44937,327928.55533,62490.62735,43136.47343,256648.97032,80435.42899,172718.04109,136229.15713,583585.47505,685945.28897,696882.56477,737225.40516,721006.71037,766335.76415,629697.4958,1181656.11101,1813952.82612,1935099.50662,1448664.48253,1343100.72861
255.1453__42.54,NA,NA,NA,NA,NA,NA,485728.75075,1005110.6911,1012566.78837,970516.11688,969626.92136,1008518.64401,NA,NA,NA,NA,NA,NA,1972466.65445,8252138.97061,3715572.1467,1851299.83302,874544.63344,2125294.63294
255.9442__34.8,104491420.56361,107667136.21136,103612008.13755,102061348.55875,102211859.82619,98498413.77981,47558218.18642,46866151.03645,45339985.69811,45638586.34582,44162813.34307,45529888.25961,142430.40099,160983.02975,135212.36543,825081.94652,126462.44031,815915.91893,42335322.94021,36957244.4302,35019002.86414,30246216.47547,34802785.21513,35443244.63693
256.8207__38.16,6635270.77839,5670312.53757,6451716.69723,7283721.38613,7616148.14543,6179543.77773,9903109.30093,10039778.67987,9969430.96608,10412399.42989,9485511.1976,9759026.67648,65715918.49858,63076587.75869,68030031.02429,60651246.58734,63888018.23827,66593646.89431,10283768.45733,10414020.99911,302240.15248,10226918.74385,10911418.07428,8908882.35975
